place_as_recorded,authorized_label_add,structured_value_add,ds_qid_add,authorized_label,structured_value,ds_qid,Wikibase editing results
Iṣfahān,,,,Isfahan,http://vocab.getty.edu/tgn/7017459,Q18350,
Erzincan,Erzincan,http://vocab.getty.edu/tgn/7002502,Q106563,,,,https://catalog.digital-scriptorium.org/entity/Q106563
Iran,,,,Iran,http://vocab.getty.edu/tgn/7000231,Q2822,
17--?,,,,,,,
Maghnīsāʼ ; Qusṭanṭīyah,Manisa,http://vocab.getty.edu/tgn/7002582,Q52692,,,,
Tokat,Tokat,http://vocab.getty.edu/tgn/1086936,Q106564,,,,https://catalog.digital-scriptorium.org/entity/Q106564
Jerusalem,,,,Jerusalem,http://vocab.getty.edu/tgn/7001371,Q11620,
Qazvīn,,,,Qazvīn,http://vocab.getty.edu/tgn/1079247,Q48699,
Mecca,,,,Mecca,http://vocab.getty.edu/tgn/7003870,Q11615,
Qusṭantinīyah,,,,Istanbul,http://vocab.getty.edu/tgn/7002473,Q11605,
"Iṣfahān, [",Isfahan,http://vocab.getty.edu/tgn/7017459,Q18350,,,,
Agra,Āgra,http://vocab.getty.edu/tgn/7001493,Q27477,,,,
between 185-? and 189-?,,,,,,,
Rasht,Rasht,http://vocab.getty.edu/tgn/1079271,Q106565,,,,https://catalog.digital-scriptorium.org/entity/Q106565
Damascus?,,,,Damascus,http://vocab.getty.edu/tgn/7002261,Q11626,
"Shīrāz, [",Shiraz,http://vocab.getty.edu/tgn/7002148,Q27484,,,,
Aleppo,,,,Aleppo,http://vocab.getty.edu/tgn/7002252,Q3095,
Shīrāz,,,,Shiraz,http://vocab.getty.edu/tgn/7002148,Q27484,
Irbil,Erbil,http://vocab.getty.edu/tgn/7002589,Q106566,,,,https://catalog.digital-scriptorium.org/entity/Q106566
Egypt,,,,Egypt,http://vocab.getty.edu/tgn/7016833,Q3086,
Syria,,,,Syria,http://vocab.getty.edu/tgn/1000140,Q3096,
Awrangābād [Pakistan,Aurangābād;Pakistan,http://vocab.getty.edu/tgn/8000157;http://vocab.getty.edu/tgn/1000133,Q106567;Q106568,,,,https://catalog.digital-scriptorium.org/entity/Q106567
al-ʻAmārah,Al-ʻAmārah,http://vocab.getty.edu/tgn/1079380,Q106569,,,,https://catalog.digital-scriptorium.org/entity/Q106569
Hachadah,,,,,,,
Latakia,Al Lādhiqīyah,http://vocab.getty.edu/tgn/7002280,Q106570,,,,https://catalog.digital-scriptorium.org/entity/Q106570
Syria?,,,,Syria,http://vocab.getty.edu/tgn/1000140,Q3096,
India,,,,India,http://vocab.getty.edu/tgn/7000198,Q138,
Malatya,Malatya,http://vocab.getty.edu/tgn/1086264,Q106571,,,,https://catalog.digital-scriptorium.org/entity/Q106571
160-?,,,,,,,
